,住址,行政區,物件說明,面積,房,衛,廳,物件類型,物件位於幾樓,物件共幾樓,管理費用,租金
44,台中市西屯區河南路二段,西屯區,🌈全新質感屋✅電梯✅流理臺✅超大衣櫃,12,1,1,0,獨立套房,3,8,"1,200元/月",10300
45,台中市西屯區福吉街,西屯區,可貓💥逢甲旁全新2房,25,2,1,2,整層住家,3,16,"2,000元/月",21000
46,台中市西屯區工業區三十八路,西屯區,猶豫是魔鬼丨電梯丨陽台獨洗曬丨全新,13.77,1,1,0,獨立套房,6,8,"1,000元/月",9999
47,台中市西屯區玉門路,西屯區,整棟全新❤搶先入住❤慢來就沒了💔,15,1,1,1,整層住家,3,6,"1,000元/月",13999
48,台中市西屯區上墩路,西屯區,遇上福星三房雙平車遇上您,60.25,3,2,2,住宅,18,19,$0元(不含租金內),39000
49,台中市西屯區何厝街,西屯區,大墩#角間#人潮車潮#娃娃機輕食#可談#,30,0,0,0,住宅,1,1,,38000
50,台中市西屯區文心路二段,西屯區,🌈捷運3房2衛雙陽台✅採光市政府✅可寵,36,3,2,2,整層住家,9,21,"3,000元/月",21999
51,台中市西屯區臺灣大道三段,西屯區,總裁專愛！七期大四房大坪數平車傢俱可談！,82,4,2,2,整層住家,10,24,"7,000元/月",65000
52,台中市西屯區福吉街3號,西屯區,#西屯#親家福星道#2房全配#家具,15,2,1,1,整層住家,3,15,,23000
53,台中市西屯區漢口路二段,西屯區,漢口路餐飲戰區店面,20,0,0,0,店面,1,4,,32000
54,台中市西屯區惠來路三段,西屯區,裝潢大三房★含車位★採光通風★地點優爆,38,3,2,2,整層住家,4,14,"3,320元/月",36000
55,台中市西屯區寶慶街,西屯區,台水電~電梯~2房1廳~可開伙~陽台獨洗,22,2,1,1,整層住家,6,12,"1,210元/月",11999
56,台中市西屯區文心路二段566號,西屯區,市政LV3房2廳2衛屋主自租,22,3,2,2,整層住家,16,23,"2,791元/月",23000
57,台中市西屯區惠安巷,西屯區,可寵可短租一個月，免仲介費獨洗獨曬大套房,10,1,1,0,獨立套房,1,3,,10000
58,台中市西屯區四川路,西屯區,可貓✅全新完工✅流理台✅電磁爐✅獨洗曬✅,10,1,1,0,獨立套房,2,3,"1,000元/月",11000
59,台中市西屯區青海路二段,西屯區,電梯可貓陽台獨洗✰新光遠百逢甲秋紅谷,12,1,1,0,獨立套房,5,6,500元/月,10999
60,台中市西屯區西屯路二段32巷,西屯區,💜全新裝潢♧首月租金半價♧好停車～💛,13,1,1,0,獨立套房,3,6,"1,000元/月",13999
61,台中市西屯區順和七街,西屯區,馬上看房丨陽台獨洗曬丨電梯丨全新,12.68,1,1,0,獨立套房,3,7,"1,000元/月",8999
62,台中市西屯區福上巷,西屯區,🔥社會住宅/家具齊全/附近好停/免仲,34,3,2,2,整層住家,6,14,"2,000元/月",22000
63,台中市西屯區至善路,西屯區,短租新光大遠百邊間舒適房/年租洽談,10.54,1,1,0,住宅,4,7,,12000
64,台中市西屯區河南路二段,西屯區,🌈全新質感屋✅電梯✅流理臺✅超大衣櫃,12,1,1,0,獨立套房,3,8,"1,200元/月",10300
65,台中市西屯區福吉街,西屯區,可貓💥逢甲旁全新2房,25,2,1,2,整層住家,3,16,"2,000元/月",21000
66,台中市西屯區工業區三十八路,西屯區,猶豫是魔鬼丨電梯丨陽台獨洗曬丨全新,13.77,1,1,0,獨立套房,6,8,"1,000元/月",9999
67,台中市西屯區玉門路,西屯區,整棟全新❤搶先入住❤慢來就沒了💔,15,1,1,1,整層住家,3,6,"1,000元/月",13999
68,台中市西屯區上墩路,西屯區,遇上福星三房雙平車遇上您,60.25,3,2,2,住宅,18,19,$0元(不含租金內),39000
69,台中市西屯區何厝街,西屯區,大墩#角間#人潮車潮#娃娃機輕食#可談#,30,0,0,0,住宅,1,1,,38000
70,台中市西屯區文心路二段,西屯區,🌈捷運3房2衛雙陽台✅採光市政府✅可寵,36,3,2,2,整層住家,9,21,"3,000元/月",21999
71,台中市西屯區臺灣大道三段,西屯區,總裁專愛！七期大四房大坪數平車傢俱可談！,82,4,2,2,整層住家,10,24,"7,000元/月",65000
72,台中市西屯區福吉街3號,西屯區,#西屯#親家福星道#2房全配#家具,15,2,1,1,整層住家,3,15,,23000
73,台中市西屯區漢口路二段,西屯區,漢口路餐飲戰區店面,20,0,0,0,店面,1,4,,32000
74,台中市西屯區惠來路三段,西屯區,裝潢大三房★含車位★採光通風★地點優爆,38,3,2,2,整層住家,4,14,"3,320元/月",36000
75,台中市西屯區寶慶街,西屯區,台水電~電梯~2房1廳~可開伙~陽台獨洗,22,2,1,1,整層住家,6,12,"1,210元/月",11999
76,台中市西屯區文心路二段566號,西屯區,市政LV3房2廳2衛屋主自租,22,3,2,2,整層住家,16,23,"2,791元/月",23000
77,台中市西屯區惠安巷,西屯區,可寵可短租一個月，免仲介費獨洗獨曬大套房,10,1,1,0,獨立套房,1,3,,10000
78,台中市西屯區四川路,西屯區,可貓✅全新完工✅流理台✅電磁爐✅獨洗曬✅,10,1,1,0,獨立套房,2,3,"1,000元/月",11000
79,台中市西屯區青海路二段,西屯區,電梯可貓陽台獨洗✰新光遠百逢甲秋紅谷,12,1,1,0,獨立套房,5,6,500元/月,10999
80,台中市西屯區西屯路二段32巷,西屯區,💜全新裝潢♧首月租金半價♧好停車～💛,13,1,1,0,獨立套房,3,6,"1,000元/月",13999
81,台中市西屯區順和七街,西屯區,馬上看房丨陽台獨洗曬丨電梯丨全新,12.68,1,1,0,獨立套房,3,7,"1,000元/月",8999
82,台中市西屯區福上巷,西屯區,🔥社會住宅/家具齊全/附近好停/免仲,34,3,2,2,整層住家,6,14,"2,000元/月",22000
83,台中市西屯區至善路,西屯區,短租新光大遠百邊間舒適房/年租洽談,10.54,1,1,0,住宅,4,7,,12000
84,台中市西屯區河南路二段,西屯區,🌈全新質感屋✅電梯✅流理臺✅超大衣櫃,12,1,1,0,獨立套房,3,8,"1,200元/月",10300
85,台中市西屯區福吉街,西屯區,可貓💥逢甲旁全新2房,25,2,1,2,整層住家,3,16,"2,000元/月",21000
86,台中市西屯區工業區三十八路,西屯區,猶豫是魔鬼丨電梯丨陽台獨洗曬丨全新,13.77,1,1,0,獨立套房,6,8,"1,000元/月",9999
87,台中市西屯區玉門路,西屯區,整棟全新❤搶先入住❤慢來就沒了💔,15,1,1,1,整層住家,3,6,"1,000元/月",13999
88,台中市西屯區上墩路,西屯區,遇上福星三房雙平車遇上您,60.25,3,2,2,住宅,18,19,$0元(不含租金內),39000
89,台中市西屯區何厝街,西屯區,大墩#角間#人潮車潮#娃娃機輕食#可談#,30,0,0,0,住宅,1,1,,38000
90,台中市西屯區文心路二段,西屯區,🌈捷運3房2衛雙陽台✅採光市政府✅可寵,36,3,2,2,整層住家,9,21,"3,000元/月",21999
91,台中市西屯區臺灣大道三段,西屯區,總裁專愛！七期大四房大坪數平車傢俱可談！,82,4,2,2,整層住家,10,24,"7,000元/月",65000
92,台中市西屯區福吉街3號,西屯區,#西屯#親家福星道#2房全配#家具,15,2,1,1,整層住家,3,15,,23000
93,台中市西屯區漢口路二段,西屯區,漢口路餐飲戰區店面,20,0,0,0,店面,1,4,,32000
94,台中市西屯區惠來路三段,西屯區,裝潢大三房★含車位★採光通風★地點優爆,38,3,2,2,整層住家,4,14,"3,320元/月",36000
95,台中市西屯區寶慶街,西屯區,台水電~電梯~2房1廳~可開伙~陽台獨洗,22,2,1,1,整層住家,6,12,"1,210元/月",11999
96,台中市西屯區文心路二段566號,西屯區,市政LV3房2廳2衛屋主自租,22,3,2,2,整層住家,16,23,"2,791元/月",23000
97,台中市西屯區惠安巷,西屯區,可寵可短租一個月，免仲介費獨洗獨曬大套房,10,1,1,0,獨立套房,1,3,,10000
98,台中市西屯區四川路,西屯區,可貓✅全新完工✅流理台✅電磁爐✅獨洗曬✅,10,1,1,0,獨立套房,2,3,"1,000元/月",11000
99,台中市西屯區青海路二段,西屯區,電梯可貓陽台獨洗✰新光遠百逢甲秋紅谷,12,1,1,0,獨立套房,5,6,500元/月,10999
100,台中市西屯區西屯路二段32巷,西屯區,💜全新裝潢♧首月租金半價♧好停車～💛,13,1,1,0,獨立套房,3,6,"1,000元/月",13999
101,台中市西屯區順和七街,西屯區,馬上看房丨陽台獨洗曬丨電梯丨全新,12.68,1,1,0,獨立套房,3,7,"1,000元/月",8999
102,台中市西屯區福上巷,西屯區,🔥社會住宅/家具齊全/附近好停/免仲,34,3,2,2,整層住家,6,14,"2,000元/月",22000
103,台中市西屯區至善路,西屯區,短租新光大遠百邊間舒適房/年租洽談,10.54,1,1,0,住宅,4,7,,12000
104,台中市西屯區河南路二段,西屯區,🌈全新質感屋✅電梯✅流理臺✅超大衣櫃,12,1,1,0,獨立套房,3,8,"1,200元/月",10300
105,台中市西屯區福吉街,西屯區,可貓💥逢甲旁全新2房,25,2,1,2,整層住家,3,16,"2,000元/月",21000
106,台中市西屯區工業區三十八路,西屯區,猶豫是魔鬼丨電梯丨陽台獨洗曬丨全新,13.77,1,1,0,獨立套房,6,8,"1,000元/月",9999
107,台中市西屯區玉門路,西屯區,整棟全新❤搶先入住❤慢來就沒了💔,15,1,1,1,整層住家,3,6,"1,000元/月",13999
108,台中市西屯區上墩路,西屯區,遇上福星三房雙平車遇上您,60.25,3,2,2,住宅,18,19,$0元(不含租金內),39000
109,台中市西屯區何厝街,西屯區,大墩#角間#人潮車潮#娃娃機輕食#可談#,30,0,0,0,住宅,1,1,,38000
110,台中市西屯區文心路二段,西屯區,🌈捷運3房2衛雙陽台✅採光市政府✅可寵,36,3,2,2,整層住家,9,21,"3,000元/月",21999
111,台中市西屯區臺灣大道三段,西屯區,總裁專愛！七期大四房大坪數平車傢俱可談！,82,4,2,2,整層住家,10,24,"7,000元/月",65000
112,台中市西屯區福吉街3號,西屯區,#西屯#親家福星道#2房全配#家具,15,2,1,1,整層住家,3,15,,23000
113,台中市西屯區漢口路二段,西屯區,漢口路餐飲戰區店面,20,0,0,0,店面,1,4,,32000
114,台中市西屯區惠來路三段,西屯區,裝潢大三房★含車位★採光通風★地點優爆,38,3,2,2,整層住家,4,14,"3,320元/月",36000
115,台中市西屯區寶慶街,西屯區,台水電~電梯~2房1廳~可開伙~陽台獨洗,22,2,1,1,整層住家,6,12,"1,210元/月",11999
116,台中市西屯區文心路二段566號,西屯區,市政LV3房2廳2衛屋主自租,22,3,2,2,整層住家,16,23,"2,791元/月",23000
117,台中市西屯區惠安巷,西屯區,可寵可短租一個月，免仲介費獨洗獨曬大套房,10,1,1,0,獨立套房,1,3,,10000
118,台中市西屯區四川路,西屯區,可貓✅全新完工✅流理台✅電磁爐✅獨洗曬✅,10,1,1,0,獨立套房,2,3,"1,000元/月",11000
119,台中市西屯區青海路二段,西屯區,電梯可貓陽台獨洗✰新光遠百逢甲秋紅谷,12,1,1,0,獨立套房,5,6,500元/月,10999
120,台中市西屯區西屯路二段32巷,西屯區,💜全新裝潢♧首月租金半價♧好停車～💛,13,1,1,0,獨立套房,3,6,"1,000元/月",13999
121,台中市西屯區順和七街,西屯區,馬上看房丨陽台獨洗曬丨電梯丨全新,12.68,1,1,0,獨立套房,3,7,"1,000元/月",8999
122,台中市西屯區福上巷,西屯區,🔥社會住宅/家具齊全/附近好停/免仲,34,3,2,2,整層住家,6,14,"2,000元/月",22000
123,台中市西屯區至善路,西屯區,短租新光大遠百邊間舒適房/年租洽談,10.54,1,1,0,住宅,4,7,,12000
124,台中市西屯區河南路二段,西屯區,🌈全新質感屋✅電梯✅流理臺✅超大衣櫃,12,1,1,0,獨立套房,3,8,"1,200元/月",10300
125,台中市西屯區福吉街,西屯區,可貓💥逢甲旁全新2房,25,2,1,2,整層住家,3,16,"2,000元/月",21000
126,台中市西屯區工業區三十八路,西屯區,猶豫是魔鬼丨電梯丨陽台獨洗曬丨全新,13.77,1,1,0,獨立套房,6,8,"1,000元/月",9999
127,台中市西屯區玉門路,西屯區,整棟全新❤搶先入住❤慢來就沒了💔,15,1,1,1,整層住家,3,6,"1,000元/月",13999
128,台中市西屯區上墩路,西屯區,遇上福星三房雙平車遇上您,60.25,3,2,2,住宅,18,19,$0元(不含租金內),39000
129,台中市西屯區何厝街,西屯區,大墩#角間#人潮車潮#娃娃機輕食#可談#,30,0,0,0,住宅,1,1,,38000
130,台中市西屯區文心路二段,西屯區,🌈捷運3房2衛雙陽台✅採光市政府✅可寵,36,3,2,2,整層住家,9,21,"3,000元/月",21999
131,台中市西屯區臺灣大道三段,西屯區,總裁專愛！七期大四房大坪數平車傢俱可談！,82,4,2,2,整層住家,10,24,"7,000元/月",65000
132,台中市西屯區福吉街3號,西屯區,#西屯#親家福星道#2房全配#家具,15,2,1,1,整層住家,3,15,,23000
133,台中市西屯區漢口路二段,西屯區,漢口路餐飲戰區店面,20,0,0,0,店面,1,4,,32000
134,台中市西屯區惠來路三段,西屯區,裝潢大三房★含車位★採光通風★地點優爆,38,3,2,2,整層住家,4,14,"3,320元/月",36000
135,台中市西屯區寶慶街,西屯區,台水電~電梯~2房1廳~可開伙~陽台獨洗,22,2,1,1,整層住家,6,12,"1,210元/月",11999
136,台中市西屯區文心路二段566號,西屯區,市政LV3房2廳2衛屋主自租,22,3,2,2,整層住家,16,23,"2,791元/月",23000
137,台中市西屯區惠安巷,西屯區,可寵可短租一個月，免仲介費獨洗獨曬大套房,10,1,1,0,獨立套房,1,3,,10000
138,台中市西屯區四川路,西屯區,可貓✅全新完工✅流理台✅電磁爐✅獨洗曬✅,10,1,1,0,獨立套房,2,3,"1,000元/月",11000
139,台中市西屯區青海路二段,西屯區,電梯可貓陽台獨洗✰新光遠百逢甲秋紅谷,12,1,1,0,獨立套房,5,6,500元/月,10999
140,台中市西屯區西屯路二段32巷,西屯區,💜全新裝潢♧首月租金半價♧好停車～💛,13,1,1,0,獨立套房,3,6,"1,000元/月",13999
141,台中市西屯區順和七街,西屯區,馬上看房丨陽台獨洗曬丨電梯丨全新,12.68,1,1,0,獨立套房,3,7,"1,000元/月",8999
142,台中市西屯區福上巷,西屯區,🔥社會住宅/家具齊全/附近好停/免仲,34,3,2,2,整層住家,6,14,"2,000元/月",22000
143,台中市西屯區至善路,西屯區,短租新光大遠百邊間舒適房/年租洽談,10.54,1,1,0,住宅,4,7,,12000
144,台中市西屯區河南路二段,西屯區,🌈全新質感屋✅電梯✅流理臺✅超大衣櫃,12,1,1,0,獨立套房,3,8,"1,200元/月",10300
145,台中市西屯區福吉街,西屯區,可貓💥逢甲旁全新2房,25,2,1,2,整層住家,3,16,"2,000元/月",21000
146,台中市西屯區工業區三十八路,西屯區,猶豫是魔鬼丨電梯丨陽台獨洗曬丨全新,13.77,1,1,0,獨立套房,6,8,"1,000元/月",9999
147,台中市西屯區玉門路,西屯區,整棟全新❤搶先入住❤慢來就沒了💔,15,1,1,1,整層住家,3,6,"1,000元/月",13999
148,台中市西屯區上墩路,西屯區,遇上福星三房雙平車遇上您,60.25,3,2,2,住宅,18,19,$0元(不含租金內),39000
149,台中市西屯區何厝街,西屯區,大墩#角間#人潮車潮#娃娃機輕食#可談#,30,0,0,0,住宅,1,1,,38000
150,台中市西屯區文心路二段,西屯區,🌈捷運3房2衛雙陽台✅採光市政府✅可寵,36,3,2,2,整層住家,9,21,"3,000元/月",21999
151,台中市西屯區臺灣大道三段,西屯區,總裁專愛！七期大四房大坪數平車傢俱可談！,82,4,2,2,整層住家,10,24,"7,000元/月",65000
152,台中市西屯區福吉街3號,西屯區,#西屯#親家福星道#2房全配#家具,15,2,1,1,整層住家,3,15,,23000
153,台中市西屯區漢口路二段,西屯區,漢口路餐飲戰區店面,20,0,0,0,店面,1,4,,32000
154,台中市西屯區惠來路三段,西屯區,裝潢大三房★含車位★採光通風★地點優爆,38,3,2,2,整層住家,4,14,"3,320元/月",36000
155,台中市西屯區寶慶街,西屯區,台水電~電梯~2房1廳~可開伙~陽台獨洗,22,2,1,1,整層住家,6,12,"1,210元/月",11999
156,台中市西屯區文心路二段566號,西屯區,市政LV3房2廳2衛屋主自租,22,3,2,2,整層住家,16,23,"2,791元/月",23000
157,台中市西屯區惠安巷,西屯區,可寵可短租一個月，免仲介費獨洗獨曬大套房,10,1,1,0,獨立套房,1,3,,10000
158,台中市西屯區四川路,西屯區,可貓✅全新完工✅流理台✅電磁爐✅獨洗曬✅,10,1,1,0,獨立套房,2,3,"1,000元/月",11000
159,台中市西屯區青海路二段,西屯區,電梯可貓陽台獨洗✰新光遠百逢甲秋紅谷,12,1,1,0,獨立套房,5,6,500元/月,10999
160,台中市西屯區西屯路二段32巷,西屯區,💜全新裝潢♧首月租金半價♧好停車～💛,13,1,1,0,獨立套房,3,6,"1,000元/月",13999
161,台中市西屯區順和七街,西屯區,馬上看房丨陽台獨洗曬丨電梯丨全新,12.68,1,1,0,獨立套房,3,7,"1,000元/月",8999
162,台中市西屯區福上巷,西屯區,🔥社會住宅/家具齊全/附近好停/免仲,34,3,2,2,整層住家,6,14,"2,000元/月",22000
163,台中市西屯區至善路,西屯區,短租新光大遠百邊間舒適房/年租洽談,10.54,1,1,0,住宅,4,7,,12000
164,台中市西屯區河南路二段,西屯區,🌈全新質感屋✅電梯✅流理臺✅超大衣櫃,12,1,1,0,獨立套房,3,8,"1,200元/月",10300
165,台中市西屯區福吉街,西屯區,可貓💥逢甲旁全新2房,25,2,1,2,整層住家,3,16,"2,000元/月",21000
166,台中市西屯區工業區三十八路,西屯區,猶豫是魔鬼丨電梯丨陽台獨洗曬丨全新,13.77,1,1,0,獨立套房,6,8,"1,000元/月",9999
167,台中市西屯區玉門路,西屯區,整棟全新❤搶先入住❤慢來就沒了💔,15,1,1,1,整層住家,3,6,"1,000元/月",13999
168,台中市西屯區上墩路,西屯區,遇上福星三房雙平車遇上您,60.25,3,2,2,住宅,18,19,$0元(不含租金內),39000
169,台中市西屯區何厝街,西屯區,大墩#角間#人潮車潮#娃娃機輕食#可談#,30,0,0,0,住宅,1,1,,38000
170,台中市西屯區文心路二段,西屯區,🌈捷運3房2衛雙陽台✅採光市政府✅可寵,36,3,2,2,整層住家,9,21,"3,000元/月",21999
171,台中市西屯區臺灣大道三段,西屯區,總裁專愛！七期大四房大坪數平車傢俱可談！,82,4,2,2,整層住家,10,24,"7,000元/月",65000
172,台中市西屯區福吉街3號,西屯區,#西屯#親家福星道#2房全配#家具,15,2,1,1,整層住家,3,15,,23000
173,台中市西屯區漢口路二段,西屯區,漢口路餐飲戰區店面,20,0,0,0,店面,1,4,,32000
174,台中市西屯區惠來路三段,西屯區,裝潢大三房★含車位★採光通風★地點優爆,38,3,2,2,整層住家,4,14,"3,320元/月",36000
175,台中市西屯區寶慶街,西屯區,台水電~電梯~2房1廳~可開伙~陽台獨洗,22,2,1,1,整層住家,6,12,"1,210元/月",11999
176,台中市西屯區文心路二段566號,西屯區,市政LV3房2廳2衛屋主自租,22,3,2,2,整層住家,16,23,"2,791元/月",23000
177,台中市西屯區惠安巷,西屯區,可寵可短租一個月，免仲介費獨洗獨曬大套房,10,1,1,0,獨立套房,1,3,,10000
178,台中市西屯區四川路,西屯區,可貓✅全新完工✅流理台✅電磁爐✅獨洗曬✅,10,1,1,0,獨立套房,2,3,"1,000元/月",11000
179,台中市西屯區青海路二段,西屯區,電梯可貓陽台獨洗✰新光遠百逢甲秋紅谷,12,1,1,0,獨立套房,5,6,500元/月,10999
180,台中市西屯區西屯路二段32巷,西屯區,💜全新裝潢♧首月租金半價♧好停車～💛,13,1,1,0,獨立套房,3,6,"1,000元/月",13999
181,台中市西屯區順和七街,西屯區,馬上看房丨陽台獨洗曬丨電梯丨全新,12.68,1,1,0,獨立套房,3,7,"1,000元/月",8999
182,台中市西屯區福上巷,西屯區,🔥社會住宅/家具齊全/附近好停/免仲,34,3,2,2,整層住家,6,14,"2,000元/月",22000
183,台中市西屯區至善路,西屯區,短租新光大遠百邊間舒適房/年租洽談,10.54,1,1,0,住宅,4,7,,12000
184,台中市西屯區河南路二段,西屯區,🌈全新質感屋✅電梯✅流理臺✅超大衣櫃,12,1,1,0,獨立套房,3,8,"1,200元/月",10300
185,台中市西屯區福吉街,西屯區,可貓💥逢甲旁全新2房,25,2,1,2,整層住家,3,16,"2,000元/月",21000
186,台中市西屯區工業區三十八路,西屯區,猶豫是魔鬼丨電梯丨陽台獨洗曬丨全新,13.77,1,1,0,獨立套房,6,8,"1,000元/月",9999
187,台中市西屯區玉門路,西屯區,整棟全新❤搶先入住❤慢來就沒了💔,15,1,1,1,整層住家,3,6,"1,000元/月",13999
188,台中市西屯區上墩路,西屯區,遇上福星三房雙平車遇上您,60.25,3,2,2,住宅,18,19,$0元(不含租金內),39000
189,台中市西屯區何厝街,西屯區,大墩#角間#人潮車潮#娃娃機輕食#可談#,30,0,0,0,住宅,1,1,,38000
190,台中市西屯區文心路二段,西屯區,🌈捷運3房2衛雙陽台✅採光市政府✅可寵,36,3,2,2,整層住家,9,21,"3,000元/月",21999
191,台中市西屯區臺灣大道三段,西屯區,總裁專愛！七期大四房大坪數平車傢俱可談！,82,4,2,2,整層住家,10,24,"7,000元/月",65000
192,台中市西屯區福吉街3號,西屯區,#西屯#親家福星道#2房全配#家具,15,2,1,1,整層住家,3,15,,23000
193,台中市西屯區漢口路二段,西屯區,漢口路餐飲戰區店面,20,0,0,0,店面,1,4,,32000
194,台中市西屯區惠來路三段,西屯區,裝潢大三房★含車位★採光通風★地點優爆,38,3,2,2,整層住家,4,14,"3,320元/月",36000
